game_id,player_id,period_id,run_id,start_frame_id,end_frame_id,duration_sec,peak_speed_kmh,mean_speed_kmh,vmax_kmh,pct_of_vmax,distance_m,start_x,start_y,end_x,end_y,player_name,team_name,team_short,position,date,home_team_name,away_team_name,competition_name,stadium_name,week
3813,13983,2,1,147731,147789,2.36,31.032383,29.88255,28.01127,1.1078534,19.589672,20.964,4.018,29.234,-13.356,Mehdi Torabi,Iran,IRN,LW,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,2,13566,13615,2.0,17.414513,17.216953,21.004139,0.8290991,9.564974,-21.408,-12.942,-22.513,-3.632,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,3,48154,48186,1.32,17.819588,17.515467,21.004139,0.84838456,6.422338,-16.296,13.648,-20.665,9.208,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,4,48286,48357,2.88,21.87524,20.510164,21.004139,1.0414728,16.40813,-20.88,6.893,-7.19,15.576,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,6,54783,54848,2.64,17.880098,17.454746,21.004139,0.8512655,12.800147,-19.964,22.142,-32.34,24.525,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,8,62704,62741,1.52,17.66065,17.209759,21.004139,0.84081763,7.2663426,24.598,-1.508,17.619,-2.665,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,9,62744,62781,1.52,19.191761,18.402346,21.004139,0.9137133,7.7698793,17.047,-2.804,9.88,-5.225,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,10,62784,62818,1.4,20.919725,20.17775,21.004139,0.9959811,7.846903,9.29,-5.482,2.508,-8.976,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,11,62877,62918,1.68,20.779818,19.042116,21.004139,0.98932016,8.886321,-9.56,-16.005,-17.495,-19.416,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,12,72144,72198,2.2,18.55066,18.028221,21.004139,0.88319063,11.017246,-12.882,14.431,-21.493,7.894,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,15,75579,75610,1.28,18.342533,17.753235,21.004139,0.87328184,6.312261,-6.878,-8.367,-11.88,-4.861,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,16,76345,76393,1.96,17.308565,17.113861,21.004139,0.82405496,9.317547,-26.899,13.858,-35.48,10.74,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,1,17,104250,104305,2.24,23.279343,22.504305,21.004139,1.1083217,14.002679,-12.859,-0.078,-25.147,-6.21,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,2,18,114027,114063,1.48,41.844692,34.127567,21.004139,1.9922117,14.030222,-6.0,7.489,2.413,-3.152,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,2,19,147425,147454,1.2,17.758259,17.464437,21.004139,0.84546477,5.8214793,23.054,19.588,19.071,15.617,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,2,20,147626,147660,1.4,21.495493,19.492708,21.004139,1.0233932,7.5804977,11.193,-4.344,17.66,-7.922,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,2,21,147731,147755,1.0,20.008791,18.489027,21.004139,0.9526118,5.135841,33.159,-15.416,37.611,-17.495,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,2,23,187726,187771,1.84,20.044142,18.417305,21.004139,0.95429486,9.413289,8.888,9.152,17.003,13.425,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,2,24,197222,197256,1.4,19.877771,18.52719,21.004139,0.946374,7.205018,19.311,11.185,13.381,14.881,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,265,2,25,197301,197332,1.28,20.294935,18.807726,21.004139,0.96623504,6.6871915,6.259,22.267,1.948,27.078,Declan Rice,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,311,2,1,196560,196620,2.44,23.02683,22.425322,26.68696,0.86284953,15.199385,-19.871,-17.359,-26.184,-3.826,Callum Wilson,England,ENG,CF,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,1,3,62877,62946,2.8,20.073858,19.522219,22.805714,0.8802118,15.183948,-2.515,-22.588,-15.886,-28.839,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,1,6,86691,86747,2.28,20.665163,20.444416,22.805714,0.90613973,12.948131,14.992,-10.365,26.19,-4.32,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,1,7,101202,101240,1.56,29.883389,24.649307,22.805714,1.3103466,10.681367,16.255,-6.529,16.737,3.935,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,1,8,101243,101275,1.32,30.330523,27.47009,22.805714,1.3299528,10.072367,16.75,5.274,16.467,15.003,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,1,10,101376,101412,1.48,23.81399,23.152199,22.805714,1.0442115,9.5181265,14.568,10.528,15.863,1.347,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,1,11,104250,104305,2.24,21.366266,20.879488,22.805714,0.93688214,12.991681,-8.882,-3.433,-20.724,-8.185,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,2,12,114027,114054,1.12,25.70929,22.349277,22.805714,1.1273179,6.953109,-2.169,13.745,3.375,10.057,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,2,13,117156,117186,1.24,19.681223,19.064156,22.805714,0.86299527,6.5665426,-6.569,-5.847,-12.681,-4.133,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,2,14,143400,143451,2.08,20.845358,20.514437,22.805714,0.91404104,11.852786,-16.786,-0.395,-28.133,2.061,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,2,16,147462,147503,1.68,20.150476,19.49183,22.805714,0.8835714,9.096188,24.247,24.127,18.064,17.78,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,2,17,187726,187808,3.32,22.910246,22.042076,22.805714,1.0045836,20.327692,-8.892,-1.593,11.04,0.999,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,2,18,205532,205581,2.0,21.430756,20.146976,22.805714,0.9397099,11.192764,18.385,-6.664,28.85,-9.899,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,4677,2,19,205857,205921,2.6,19.066881,18.772982,22.805714,0.8360572,13.558265,26.353,-25.661,13.059,-26.744,Jude Bellingham,England,ENG,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,8561,1,2,13931,13956,1.04,20.95627,20.648743,24.69755,0.84851617,5.9651923,2.471,-2.253,3.956,-7.79,Mehdi Taremi,Iran,IRN,CF,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,8561,1,3,40852,40923,2.88,23.399996,22.341583,24.69755,0.94746226,17.873266,1.455,9.521,16.252,19.105,Mehdi Taremi,Iran,IRN,CF,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,8561,1,5,52008,52045,1.52,25.892614,23.212969,24.69755,1.048388,9.801031,16.925,0.969,20.59,-7.883,Mehdi Taremi,Iran,IRN,CF,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,8561,1,8,69134,69170,1.48,21.98674,21.177717,24.69755,0.8902397,8.706395,-3.792,17.339,-2.367,8.974,Mehdi Taremi,Iran,IRN,CF,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,8561,1,10,85668,85697,1.2,24.395473,24.063656,24.69755,0.98776895,8.021218,7.564,-11.117,12.606,-17.015,Mehdi Taremi,Iran,IRN,CF,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,8561,2,13,114027,114063,1.48,26.008137,23.411928,24.69755,1.0530654,9.624904,-5.194,5.926,2.077,0.072,Mehdi Taremi,Iran,IRN,CF,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3855,13563,2,2,145765,145807,1.72,19.555084,19.023792,21.874634,0.89396167,9.089146,0.993,31.935,9.858,31.958,Jewison Bennette,Costa Rica,CRC,LM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13563,2,3,149430,149509,3.2,18.537636,18.148901,21.874634,0.84744895,16.132357,4.349,-7.016,13.093,-20.22,Jewison Bennette,Costa Rica,CRC,LM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13563,2,5,150942,151003,2.48,20.325861,19.493723,21.874634,0.9291978,13.429009,26.037,-9.526,37.657,-3.268,Jewison Bennette,Costa Rica,CRC,LM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13563,2,6,157815,157842,1.12,18.194263,17.970428,21.874634,0.8317517,5.5908,-2.737,-6.104,-2.931,-0.712,Jewison Bennette,Costa Rica,CRC,LM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,1,3,27059,27112,2.16,18.905308,18.387867,21.711117,0.8707662,11.032721,-23.513,12.606,-32.298,18.936,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,1,4,38585,38634,2.0,19.513416,18.758413,21.711117,0.89877534,10.421341,-2.141,9.088,-12.258,7.593,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,1,6,50914,50975,2.48,20.778046,19.527954,21.711117,0.9570233,13.452591,-18.406,10.48,-31.014,6.399,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,1,7,59683,59793,4.44,22.6266,20.772997,21.711117,1.0421666,25.62003,-15.273,16.476,-39.335,24.45,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,2,9,88447,88474,1.12,24.380707,21.404713,21.711117,1.1229596,6.659244,-10.378,3.869,-16.719,3.093,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,2,11,91758,91791,1.36,21.004541,20.020103,21.711117,0.96745557,7.5631504,-30.228,22.191,-24.82,17.217,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,2,12,100636,100662,1.08,17.788425,17.624718,21.711117,0.81932336,5.2874155,-23.625,13.288,-28.702,12.877,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,2,14,142777,142821,1.8,18.573378,18.24172,21.711117,0.85547775,9.12086,-6.204,-11.649,-13.591,-16.66,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,2,17,142938,142968,1.24,18.248903,18.088543,21.711117,0.84053266,6.2304983,-33.983,-16.961,-38.913,-13.499,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,2,21,146353,146387,1.4,17.739037,17.601412,21.711117,0.81704855,6.8449936,-27.948,2.394,-34.44,0.976,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13779,2,24,184638,184669,1.28,18.462526,18.15618,21.711117,0.850372,6.4555306,-20.485,7.278,-14.4,5.852,Juan Pablo Vargas,Costa Rica,CRC,LCB,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13787,2,2,115295,115319,1.0,20.97946,20.673986,25.452375,0.82426333,5.742774,-4.566,-22.412,0.946,-22.633,Youstin Salas,Costa Rica,CRC,CDM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13787,2,4,149485,149513,1.16,20.962072,20.72497,25.452375,0.8235802,6.6780457,-5.374,-10.267,0.579,-12.749,Youstin Salas,Costa Rica,CRC,CDM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13787,2,5,175425,175467,1.72,25.911453,24.503567,25.452375,1.0180367,11.70726,17.481,-17.078,6.391,-20.014,Youstin Salas,Costa Rica,CRC,CDM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13787,2,6,180247,180318,2.88,25.703161,24.283258,25.452375,1.0098531,19.426607,-14.514,-7.257,-33.272,-3.246,Youstin Salas,Costa Rica,CRC,CDM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
3855,13788,1,1,8140,8191,2.08,19.547049,18.779594,21.792759,0.89695156,10.850432,-37.595,-2.092,-26.947,-1.709,Yeltsin Tejeda,Costa Rica,CRC,CM,2022-12-01T19:00:00,Costa Rica,Germany,FIFA Men's World Cup,Al Bayt Stadium,3
