player_id,player_name,team_name,team_short,position,jersey_number,vmax_kmh,threshold_kmh,n_games,runs_absolute,runs_relative,run_delta,pct_change,category,runs_per_game_absolute,runs_per_game_relative
74,Eric Dier,England,ENG,RCB,15,18.38,14.7,2,1,12,11,1100.0,gained,0.5,6.0
1975,Denis Odoi,Ghana,GHA,RB,3,14.75,11.8,1,0,11,11,,gained,0.0,11.0
132,Fred,Brazil,BRA,CM,8,22.15,17.72,3,8,18,10,125.0,gained,2.67,6.0
11113,Sebastian Szymanski,Poland,POL,CM,19,22.39,17.91,2,15,25,10,66.7,gained,7.5,12.5
4882,Robert Skov,Denmark,DEN,RW,24,20.87,16.7,1,1,11,10,1000.0,gained,1.0,11.0
13151,Srdjan Babic,Serbia,SRB,LCB,15,17.43,13.94,1,0,10,10,,gained,0.0,10.0
8059,Dušan Vlahović,Serbia,SRB,CF,18,20.14,16.11,2,4,14,10,250.0,gained,2.0,7.0
13972,Abolfazl Jalali,Iran,IRN,LB,25,17.59,14.08,1,1,11,10,1000.0,gained,1.0,11.0
3460,Romario Ibarra,Ecuador,ECU,LM,10,20.99,16.79,1,5,15,10,200.0,gained,5.0,15.0
55,Takumi Minamino,Japan,JPN,LW,10,21.33,17.06,3,5,15,10,200.0,gained,1.67,5.0
14018,Nader Ghandri,Tunisia,TUN,RCB,5,18.27,14.62,1,3,13,10,333.3,gained,3.0,13.0
14027,Naim Sliti,Tunisia,TUN,LW,23,21.64,17.31,2,13,23,10,76.9,gained,6.5,11.5
1702,Luka Jovic,Serbia,SRB,CF,11,18.43,14.74,1,1,11,10,1000.0,gained,1.0,11.0
7757,Thiago Almada,Argentina,ARG,CAM,16,16.35,13.08,1,0,10,10,,gained,0.0,10.0
8050,Alex Sandro,Brazil,BRA,LB,6,21.1,16.88,2,13,23,10,76.9,gained,6.5,11.5
14017,Ali Maaloul,Tunisia,TUN,LB,12,19.92,15.94,1,6,16,10,166.7,gained,6.0,16.0
8018,Andre Onana,Cameroon,CMR,GK,23,13.3,10.64,1,2,12,10,500.0,gained,2.0,12.0
13783,Bryan Ruiz,Costa Rica,CRC,CAM,10,17.22,13.78,1,0,10,10,,gained,0.0,10.0
14029,Taha Yassine Khenissi,Tunisia,TUN,CF,11,19.28,15.42,2,1,11,10,1000.0,gained,0.5,5.5
13825,Garang Kuol,Australia,AUS,CF,21,20.42,16.34,2,4,14,10,250.0,gained,2.0,7.0
14006,Ali Al-Hassan,Saudi Arabia,KSA,CDM,15,20.03,16.02,1,2,12,10,500.0,gained,2.0,12.0
13880,Fabian Frei,Switzerland,SUI,CDM,20,19.8,15.84,2,2,12,10,500.0,gained,1.0,6.0
13941,Saad Al-Sheeb,Qatar,QAT,GK,1,12.57,10.05,1,1,10,9,900.0,gained,1.0,10.0
14024,Ferjani Sassi,Tunisia,TUN,CM,13,19.9,15.92,2,4,13,9,225.0,gained,2.0,6.5
1267,Lucas Cavallini,Canada,CAN,CF,9,21.94,17.55,1,4,13,9,225.0,gained,4.0,13.0
4779,Nico Schlotterbeck,Germany,GER,LCB,23,20.35,16.28,2,7,16,9,128.6,gained,3.5,8.0
13216,Stefan Mitrović,Serbia,SRB,RCB,13,20.86,16.69,1,3,12,9,300.0,gained,3.0,12.0
13947,Ismaeel Mohammed,Qatar,QAT,RW,17,22.5,18.0,2,15,24,9,60.0,gained,7.5,12.0
4673,Thomas Delaney,Denmark,DEN,CM,8,21.91,17.52,1,4,13,9,225.0,gained,4.0,13.0
13784,Johan Venegas,Costa Rica,CRC,CF,11,20.81,16.64,1,6,15,9,150.0,gained,6.0,15.0
13919,Seung-ho Paik,South Korea,KOR,CM,8,18.46,14.76,1,0,9,9,,gained,0.0,9.0
2110,Roberto Alvarado,Mexico,MEX,RW,25,17.37,13.9,1,0,8,8,,gained,0.0,8.0
14000,Nawaf Al-Abed,Saudi Arabia,KSA,CAM,18,20.49,16.4,2,4,12,8,200.0,gained,2.0,6.0
2108,Uriel Antuna,Mexico,MEX,RW,21,21.77,17.42,3,8,16,8,100.0,gained,2.67,5.33
13916,Chul Hong,South Korea,KOR,LB,14,21.27,17.02,1,5,13,8,160.0,gained,5.0,13.0
13955,Ali Asad,Qatar,QAT,CAM,8,19.18,15.34,1,1,9,8,800.0,gained,1.0,9.0
16,Kyle Walker,England,ENG,RB,2,21.76,17.41,3,16,24,8,50.0,gained,5.33,8.0
3849,Thilo Kehrer,Germany,GER,RCB,5,22.06,17.65,1,5,13,8,160.0,gained,5.0,13.0
12537,Nicola Zalewski,Poland,POL,LM,21,19.3,15.44,2,3,11,8,266.7,gained,1.5,5.5
4021,Jérémy Doku,Belgium,BEL,RW,25,17.09,13.67,1,0,8,8,,gained,0.0,8.0
8402,Nicolas Ngamaleu,Cameroon,CMR,LW,6,21.15,16.92,1,10,18,8,80.0,gained,10.0,18.0
455,Leandro Trossard,Belgium,BEL,LW,17,23.31,18.65,3,14,22,8,57.1,gained,4.67,7.33
8011,Haris Seferovic,Switzerland,SUI,CF,9,20.79,16.63,3,10,18,8,80.0,gained,3.33,6.0
4915,Hee-chan Hwang,South Korea,KOR,CF,11,21.63,17.3,2,16,24,8,50.0,gained,8.0,12.0
8077,Joao Palhinha,Portugal,POR,CDM,6,18.59,14.87,2,1,9,8,800.0,gained,0.5,4.5
13856,Josip Sutalo,Croatia,CRO,RCB,24,19.96,15.97,1,6,14,8,133.3,gained,6.0,14.0
13862,Munir,Morocco,MAR,GK,12,12.06,9.65,1,2,10,8,400.0,gained,2.0,10.0
5009,Wout Weghorst,Netherlands,NED,CF,19,17.57,14.06,2,0,8,8,,gained,0.0,4.0
158,Mattéo Guendouzi,France,FRA,CM,6,21.62,17.3,1,5,13,8,160.0,gained,5.0,13.0
4851,Krzysztof Piatek,Poland,POL,CF,23,18.56,14.84,1,0,8,8,,gained,0.0,8.0
13560,Anass Zaroury,Morocco,MAR,LW,10,18.0,14.4,1,0,8,8,,gained,0.0,8.0
5139,Romelu Lukaku,Belgium,BEL,CF,9,18.34,14.68,2,2,10,8,400.0,gained,1.0,5.0
252,Raúl Jiménez,Mexico,MEX,CF,9,20.38,16.3,3,5,13,8,160.0,gained,1.67,4.33
13869,Walid Cheddira,Morocco,MAR,CF,21,20.67,16.54,2,5,13,8,160.0,gained,2.5,6.5
13930,Giorgian De Arrascaeta,Uruguay,URU,CAM,10,21.06,16.84,2,7,15,8,114.3,gained,3.5,7.5
1957,Marko Grujic,Serbia,SRB,CM,26,17.51,14.01,1,0,7,7,,gained,0.0,7.0
2090,Hiroki Sakai,Japan,JPN,RB,19,22.58,18.06,2,11,18,7,63.6,gained,5.5,9.0
1452,Nestor Araujo,Mexico,MEX,RCB,2,20.98,16.78,1,8,15,7,87.5,gained,8.0,15.0
4925,Hiroki Ito,Japan,JPN,LCB,26,19.31,15.45,1,2,9,7,350.0,gained,2.0,9.0
14033,Liam Millar,Canada,CAN,LW,23,16.51,13.21,1,0,7,7,,gained,0.0,7.0
1383,Koke,Spain,ESP,CM,8,19.78,15.83,2,4,11,7,175.0,gained,2.0,5.5
9330,Dani Alves,Brazil,BRA,RB,13,20.71,16.57,2,8,15,7,87.5,gained,4.0,7.5
13831,Everton Ribeiro,Brazil,BRA,CM,22,21.37,17.1,1,5,12,7,140.0,gained,5.0,12.0
14009,Abdulrahman Al-Oboud,Saudi Arabia,KSA,RW,20,21.75,17.4,2,4,11,7,175.0,gained,2.0,5.5
14008,Riad Sharahili,Saudi Arabia,KSA,CDM,26,21.78,17.42,1,3,10,7,233.3,gained,3.0,10.0
13118,Eray Comert,Switzerland,SUI,RCB,18,19.2,15.36,2,2,9,7,350.0,gained,1.0,4.5
10756,Jordan Veretout,France,FRA,CM,15,21.45,17.16,1,6,13,7,116.7,gained,6.0,13.0
13822,Jason Cummings,Australia,AUS,CF,25,19.97,15.98,1,2,9,7,350.0,gained,2.0,9.0
4194,Randal Kolo Muani,France,FRA,CF,12,22.49,17.99,3,15,22,7,46.7,gained,5.0,7.33
13811,Nathaniel Atkinson,Australia,AUS,RB,3,21.89,17.51,1,5,12,7,140.0,gained,5.0,12.0
11854,Alexander Bah,Denmark,DEN,RB,26,22.15,17.72,2,8,15,7,87.5,gained,4.0,7.5
13917,Chang-hoon Kwon,South Korea,KOR,RW,22,20.96,16.77,1,3,10,7,233.3,gained,3.0,10.0
14032,David Wotherspoon,Canada,CAN,CAM,24,14.41,11.53,1,0,7,7,,gained,0.0,7.0
13801,Yuki Soma,Japan,JPN,LW,24,20.44,16.35,1,5,12,7,140.0,gained,5.0,12.0
13787,Youstin Salas,Costa Rica,CRC,CDM,14,20.59,16.47,1,5,12,7,140.0,gained,5.0,12.0
12529,Matias Vina,Uruguay,URU,LB,17,20.02,16.01,2,2,8,6,300.0,gained,1.0,4.0
12862,Wajdi Kechrida,Tunisia,TUN,RM,21,23.56,18.85,3,18,24,6,33.3,gained,6.0,8.0
42,Trent Alexander-Arnold,England,ENG,RB,18,22.53,18.02,1,4,10,6,150.0,gained,4.0,10.0
3315,Vincent Janssen,Netherlands,NED,CF,18,20.39,16.31,1,5,11,6,120.0,gained,5.0,11.0
13935,Hernan Galindez,Ecuador,ECU,GK,1,14.76,11.8,3,11,17,6,54.5,gained,3.67,5.67
9290,Bailey Wright,Australia,AUS,RCB,8,19.11,15.29,1,1,7,6,600.0,gained,1.0,7.0
4560,Carlos Gruezo,Ecuador,ECU,CDM,8,19.92,15.94,1,2,8,6,300.0,gained,2.0,8.0
3867,Pablo Sarabia,Spain,ESP,RW,22,12.36,9.89,1,0,6,6,,gained,0.0,6.0
7955,Rubin Colwill,Wales,WAL,CAM,25,16.62,13.3,1,0,6,6,,gained,0.0,6.0
6,Ederson,Brazil,BRA,GK,23,15.41,12.33,1,2,8,6,300.0,gained,2.0,8.0
5065,Christian Nörgaard,Denmark,DEN,CDM,15,19.64,15.71,1,0,6,6,,gained,0.0,6.0
14002,Hattan Bahebri,Saudi Arabia,KSA,RW,19,20.1,16.08,2,1,7,6,600.0,gained,0.5,3.5
13949,Tarek Salman,Qatar,QAT,RCB,5,16.1,12.88,1,0,6,6,,gained,0.0,6.0
13830,Pedro,Brazil,BRA,CF,25,21.9,17.52,2,4,10,6,150.0,gained,2.0,5.0
13868,Yahya Jabrane,Morocco,MAR,CDM,26,16.15,12.92,1,0,6,6,,gained,0.0,6.0
13791,Roan Wilson,Costa Rica,CRC,CM,24,18.13,14.51,1,0,6,6,,gained,0.0,6.0
